"time","BlackScr","CO2air","EC_drain_PC","EC_slab1","EC_slab2","EnScr","HumDef","Iglob","PipeGrow","RadSum","Rhair","Tair","Tout","WC_slab1","WC_slab2"
"2020-05-02 15:00:00",95,560.0000004,6.3,5.438761,4.931374,0,1.629999997,0,36.59999999,2162.999782,90.3,19.6,9.99999998,67.476,56.932
"2020-05-02 15:05:00",95,563.9999996,6.33,5.436839,4.924302,0,1.600000003,0,36.50000001,0.000217561,90.5,19.6,9.80000002,67.476,56.932
"2020-05-02 15:10:00",95,572.9999997,6.33,5.437169,4.917085,0,1.560000001,0,36.4,0,90.7,19.6,9.700000003,67.314,56.882
"2020-05-02 15:15:00",95,553,6.33,5.442257,4.919684,0,1.47,0,36.6,0,91.2,19.5,9.5,67.103,56.792
"2020-05-02 15:20:00",95,582.9999995,6.32,5.4461,4.916122,0,1.449999999,0,36.70000002,0,91.3,19.4,9.299999993,67.041,56.758
"2020-05-02 15:25:00",95,575.0000011,6.32,5.444921,4.912007,0,1.430000003,0,36.99999996,0,91.4,19.4,9.200000013,67.083,56.802
"2020-05-02 15:30:00",95,592.9999988,6.33,5.448949,4.903357,0,1.410000001,0,37.09999999,0,91.5,19.4,9.000000013,67.157,56.802
"2020-05-02 15:35:00",95,566.0000009,6.32,5.448883,4.898533,0,1.439999999,0,37.29999999,0,91.3,19.3,9.199999993,67.057,56.758
"2020-05-02 15:40:00",95,583.0000001,6.31,5.441239,4.892969,0,1.47,0,37.5,0,91.1,19.3,9.199999987,66.989,56.659
"2020-05-02 15:45:00",95,586.9999999,6.33,5.441755,4.896309,0,1.479999999,0,37.49999999,0,91.1,19.4,8.80000002,66.989,56.669
"2020-05-02 15:50:00",95,586.0000001,6.34,5.439353,4.888401,0,1.470000001,0,37.40000001,0,91.1,19.3,8.99999998,66.938,56.669
"2020-05-02 15:55:00",95,587,6.32,5.442447,4.884258,0,1.47,0,37.20000001,0,91.1,19.3,8.800000007,66.839,56.579
"2020-05-02 16:00:00",90,600,6.33,5.430254,4.887118,0,1.44,0,37.2,0,91.2,19.1,8.9,66.839,56.48
"2020-05-02 16:05:00",90,588.9999989,6.35,5.437603,4.881611,0,1.420000012,0,36.8,0,91.1999999,18.9,8.999999973,66.839,56.535
"2020-05-02 16:10:00",90,572.0000023,6.35,5.430407,4.880427,0,1.599999976,0,36.8,0,90.0000002,18.8,8.600000054,66.839,56.402
"2020-05-02 16:15:00",90,580.9999994,6.37,5.417966,4.875581,0,1.769999989,0,36.60000001,0,88.9000001,18.7,8.500000007,66.776,56.402
"2020-05-02 16:20:00",90,567.0000005,6.36,5.420303,4.873258,0,1.849999997,0,36.5,0,88.3,18.5,8.699999993,66.788,56.402
"2020-05-02 16:25:00",90,560.9999994,6.36,5.417839,4.874009,0,1.729999998,0,36.6,0,88.9,18.3,8.599999993,66.788,56.279
"2020-05-02 16:30:00",90,543.0000009,6.38,5.414664,4.861994,0,1.669999999,0,36.5,0,89.2,18.2,8.40000002,66.626,56.279
"2020-05-02 16:35:00",90,551.9999991,6.38,5.418267,4.861994,0,1.660000001,0,36.5,0,89.2,18.1,8.59999998,66.637,56.279
"2020-05-02 16:40:00",75.0000005,568.9999994,6.42,5.411102,4.852994,0,1.67,0,36.69999999,0,89.2,18.2,8.699999997,66.637,56.289
"2020-05-02 16:45:00",75,548,6.39,5.410567,4.852614,0,1.7,0,36.5,0,88.7,17.7,9,66.465,56.146
"2020-05-02 16:50:00",75,546.9999997,6.39,5.408861,4.854503,0,1.720000003,0,36.70000001,0,88.5,17.6,8.8,66.465,56.013
"2020-05-02 16:55:00",75,543.0000005,6.4,5.413063,4.852563,0,1.759999995,0,36.79999999,0,88.3,17.7,8.8,66.366,56.013
"2020-05-02 17:00:00",75,556.9999991,6.39,5.424723,4.847806,0,1.779999999,0,36.99999999,0,88.3,17.9,8.899999993,66.315,56.023
"2020-05-02 17:05:00",75,547.0000003,6.42,5.426825,4.846044,0,1.889999996,0,37,0,87.7,18.1,8.999999997,66.346,56.023
"2020-05-02 17:10:00",75,538.999999,6.39,5.423124,4.844629,0,2.360000009,0,37.2,0,85.5,19,8.999999993,66.414,55.925
"2020-05-02 17:15:00",75,509.0000011,6.39,5.407694,4.833215,0,2.629999981,0,37.20000002,0,84.1000002,19.3000001,8.80000001,66.247,55.891
